exam_center,CENTRE CATEGORY,CENTRE POSITION IN ITS CATEGORY(NATIONWISE),CENTRE POSITION IN ITS CATEGORY(REGIONWISE),EXAMINATION CENTRE GPA,EXAMINATION CENTRE REGION,TOTAL PASSED CANDIDATES,REGIST,ABSENT,SAT,WITHHELD,NO-CA,CLEAN,DIV I,DIV II,DIV III,DIV IV,DIV 0
S0101 AZANIA,CENTRE WITH 40 CANDIDATES OR MORE,261/3488,35/239,2.8783,DAR ES SALAAM,232,253,1,252,0,0,252,71,60,45,56,20
S0104 BWIRU BOYS,CENTRE WITH 40 CANDIDATES OR MORE,321/3488,23/241,3.0473,MWANZA,134,146,1,145,0,0,145,29,42,35,28,11
S0105 CHIDYA,CENTRE WITH 40 CANDIDATES OR MORE,450/3488,5/99,3.2807,MTWARA,84,93,2,91,0,0,91,9,27,13,35,7
S0106 DUNG'UNYI SEMINARY,CENTRE WITH LESS THAN 40 CANDIDATES,41/1371,1/60,2.7545,SINGIDA,33,33,0,33,0,0,33,7,14,7,5,0
S0107 LUTHERAN JUNIOR SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,279/3488,16/159,2.9327,MOROGORO,65,65,0,65,0,0,65,5,28,23,9,0
S0108 IFUNDA TECHNICAL,CENTRE WITH 40 CANDIDATES OR MORE,277/3488,11/130,2.9285,IRINGA,161,165,0,165,0,0,165,36,49,47,29,4
S0110 ILBORU,CENTRE WITH 40 CANDIDATES OR MORE,36/3488,3/173,1.8109,ARUSHA,136,138,2,136,0,0,136,99,26,10,1,0
S0111 ITAGA SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,167/3488,6/98,2.5653,TABORA,48,48,0,48,0,0,48,11,25,11,1,0
S0112 IYUNGA TECHNICAL,CENTRE WITH 40 CANDIDATES OR MORE,345/3488,16/174,3.0887,MBEYA,124,135,0,135,0,0,135,26,45,24,29,11
S0113 MAFINGA SEMINARY,CENTRE WITH LESS THAN 40 CANDIDATES,2/1371,1/32,1.7897,IRINGA,39,39,0,39,0,0,39,31,8,0,0,0
S0114 KAENGESA SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,149/3488,1/51,2.4998,RUKWA,43,43,0,43,0,0,43,10,25,8,0,0
S0116 KANTALAMBA,CENTRE WITH 40 CANDIDATES OR MORE,429/3488,4/51,3.2296,RUKWA,129,139,1,138,0,0,138,15,36,39,39,9
S0117 KASITA SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,121/3488,8/159,2.3482,MOROGORO,93,93,0,93,0,0,93,25,60,8,0,0
S0118 KATOKE SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,14/3488,2/200,1.6500,KAGERA,52,52,0,52,0,0,52,47,5,0,0,0
S0119 KIBAHA,CENTRE WITH 40 CANDIDATES OR MORE,45/3488,7/115,1.9830,PWANI,109,109,0,109,0,0,109,66,37,6,0,0
S0121 ST. JAMES SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,50/3488,6/270,2.0183,KILIMANJARO,53,53,0,53,0,0,53,28,23,1,1,0
S0122 KILIMANJARO BOYS,CENTRE WITH 40 CANDIDATES OR MORE,392/3488,45/270,3.1831,KILIMANJARO,98,98,0,98,0,0,98,6,29,34,29,0
S0124 LIKONDE SEMINARY,CENTRE WITH LESS THAN 40 CANDIDATES,16/1371,2/74,2.3084,RUVUMA,18,18,0,18,0,0,18,4,14,0,0,0
S0127 MAKOKO SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,104/3488,2/157,2.2982,MARA,47,47,0,47,0,0,47,14,28,4,1,0
S0128 MALANGALI,CENTRE WITH 40 CANDIDATES OR MORE,405/3488,17/130,3.1962,IRINGA,70,82,0,82,0,0,82,11,22,26,11,12
S0130 MAUA SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,6/3488,1/270,1.5143,KILIMANJARO,42,42,0,42,0,0,42,40,2,0,0,0
S0134 MOSHI,CENTRE WITH 40 CANDIDATES OR MORE,559/3488,63/270,3.4469,KILIMANJARO,77,86,1,85,0,0,85,10,17,17,33,8
S0135 MOSHI TECHNICAL,CENTRE WITH 40 CANDIDATES OR MORE,619/3488,67/270,3.5510,KILIMANJARO,232,284,3,281,1,0,280,36,47,55,94,48
S0136 MUSOMA,CENTRE WITH 40 CANDIDATES OR MORE,484/3488,13/157,3.3310,MARA,92,109,1,108,0,0,108,22,19,26,25,16
S0138 MPWAPWA,CENTRE WITH 40 CANDIDATES OR MORE,221/3488,6/117,2.7364,DODOMA,76,80,0,80,0,0,80,22,29,12,13,4
S0139 MTWARA TECHNICAL,CENTRE WITH 40 CANDIDATES OR MORE,275/3488,3/99,2.9232,MTWARA,116,123,2,121,0,0,121,37,28,21,30,5
S0140 MZUMBE,CENTRE WITH 40 CANDIDATES OR MORE,48/3488,2/159,2.0102,MOROGORO,98,102,4,98,0,0,98,59,29,8,2,0
S0141 NAMUPA SEMINARY,CENTRE WITH LESS THAN 40 CANDIDATES,21/1371,1/76,2.4272,LINDI,29,29,0,29,0,0,29,7,17,5,0,0
S0146 NYEGEZI SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,43/3488,6/241,1.9626,MWANZA,58,58,0,58,0,0,58,36,21,1,0,0
S0147 PUGU,CENTRE WITH 40 CANDIDATES OR MORE,492/3488,59/239,3.3383,DAR ES SALAAM,100,111,0,111,0,0,111,12,28,28,32,11
S0148 RUBYA SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,24/3488,3/200,1.7238,KAGERA,42,42,0,42,0,0,42,36,6,0,0,0
S0152 SHINYANGA,CENTRE WITH 40 CANDIDATES OR MORE,454/3488,12/108,3.2887,SHINYANGA,103,116,1,115,0,0,115,15,30,22,36,12
S0153 SONGEA BOYS,CENTRE WITH 40 CANDIDATES OR MORE,366/3488,9/115,3.1401,RUVUMA,73,76,1,75,0,0,75,6,31,13,23,2
S0154 ST. PETER'S SEMINARY,CENTRE WITH LESS THAN 40 CANDIDATES,3/1371,1/76,1.9192,MOROGORO,39,39,0,39,0,0,39,26,13,0,0,0
S0155 TABORA BOYS,CENTRE WITH 40 CANDIDATES OR MORE,67/3488,1/98,2.0951,TABORA,87,87,0,87,0,0,87,41,36,9,1,0
S0156 TANGA TECHNICAL,CENTRE WITH 40 CANDIDATES OR MORE,555/3488,18/188,3.4374,TANGA,141,165,1,164,0,0,164,26,35,22,58,23
S0157 HANGA SEMINARY,CENTRE WITH LESS THAN 40 CANDIDATES,26/1371,3/74,2.5812,RUVUMA,38,38,0,38,0,0,38,8,18,11,1,0
S0159 ST. JOSEPH'S ITERAMBOGO SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,51/3488,1/113,2.0259,KIGOMA,54,54,0,54,0,0,54,32,21,1,0,0
S0165 URU SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,61/3488,7/270,2.0654,KILIMANJARO,101,101,0,101,0,0,101,57,39,5,0,0
